COLLECTION_DATE,Actual_Value,Predicted_Value
2019-02-19,2.802654320987654,1.925907996245793
2019-02-20,2.780769547325103,1.9106431643130288
2019-02-21,2.753358024691358,1.898622843269318
2019-02-22,2.72041975308642,1.8894906880590652
2019-02-23,2.6819547325102877,1.8829452871443735
2019-02-24,2.637962962962963,1.8787287782563105
2019-02-25,2.6018518518518516,1.876613295717845
2019-02-26,2.5736213991769548,1.8765001760399531
2019-02-27,2.5532716049382715,1.8783014171729013
2019-02-28,2.5408024691358024,1.8819696750981467
2019-03-01,2.5362139917695474,1.887508021755824
2019-03-02,2.539506172839506,1.8949506098921338
2019-03-03,2.5409652076318743,1.9043288817178636
2019-03-04,2.5405910961466516,1.9156350670314972
2019-03-05,2.5383838383838384,1.9288980782107703
2019-03-06,2.5343434343434343,1.944043104478291
2019-03-07,2.529292929292929,1.9609902753905646
2019-03-08,2.5232323232323233,1.9797972350007011
2019-03-09,2.516161616161616,2.00040633925559
2019-03-10,2.508080808080808,2.0227807248736185
2019-03-11,2.498989898989899,2.0468596758615405
2019-03-12,2.488888888888889,2.072547781372827
2019-03-13,2.477777777777778,2.099732102431948
2019-03-14,2.4656565656565657,2.128265728019533
2019-03-15,2.4525252525252523,2.1579413925276865
2019-03-16,2.4383838383838383,2.1884795494041747
2019-03-17,2.423232323232323,2.2196763663859596
2019-03-18,2.407070707070707,2.251415471152654
2019-03-19,2.38989898989899,2.28357615452721
2019-03-20,2.3717171717171714,2.316029395023982
2019-03-21,2.3525252525252522,2.348647616776209
2019-03-22,2.3323232323232324,2.3812978228463066
2019-03-23,2.311111111111111,2.4138508110462675
2019-03-24,2.2888888888888888,2.4461721388196187
2019-03-25,2.2674897119341564,2.4785388228855436
2019-03-26,2.246913580246914,2.5109423702330815
2019-03-27,2.2271604938271605,2.543370673804056
2019-03-28,2.208230452674897,2.5758808355444955
2019-03-29,2.1901234567901233,2.608590131286591
2019-03-30,2.17283950617284,2.641653965060673
2019-03-31,2.156378600823045,2.6749754804013266
2019-04-01,2.140740740740741,2.708459808569106
2019-04-02,2.130948148148148,2.74204298092827
2019-04-03,2.1270008230452673,2.7756948201845564
2019-04-04,2.1288987654320985,2.8093930999475814
2019-04-05,2.136641975308642,2.843126616670972
2019-04-06,2.1502304526748968,2.876911091460122
2019-04-07,2.169664197530864,2.910772545454994
2019-04-08,2.194943209876543,2.9447519980915007
2019-04-09,2.226067489711934,2.978898239007072
2019-04-10,2.2630370370370367,3.0132701771713437
2019-04-11,2.305851851851852,3.0479352145649137
2019-04-12,2.3545119341563785,3.0829753900596075
2019-04-13,2.409017283950617,3.1184985829648517
2019-04-14,2.4693679012345675,3.1546327305521285
2019-04-15,2.5355637860082303,3.1915384772202327
2019-04-16,2.6076049382716047,3.229403211317365
2019-04-17,2.681491358024692,3.2683501718536254
2019-04-18,2.75722304526749,3.3084684450929127
2019-04-19,2.8348,3.3498276014441535
2019-04-20,2.914222222222222,3.3924693831527044
2019-04-21,2.9946666666666664,3.4363950551350912
2019-04-22,3.0761333333333325,3.481473066072615
2019-04-23,3.158622222222222,3.5276857071339136
2019-04-24,3.242133333333333,3.575009306309715
2019-04-25,3.3266666666666658,3.623402121354663
2019-04-26,3.412222222222222,3.6727851853370663
2019-04-27,3.4988,3.7231196472493426
2019-04-28,3.5864000000000003,3.7743433454793593
2019-04-29,3.6750222222222217,3.8263489428247723
2019-04-30,3.764666666666667,3.878981396659972
2019-05-01,3.855333333333333,3.9321389715558004
2019-05-02,3.947022222222222,3.9857222812137905
2019-05-03,4.0397333333333325,4.039635734085053
2019-05-04,4.133466666666667,4.093780666680563
2019-05-05,4.228222222222222,4.148061668153793
2019-05-06,4.324,4.202385134681823
2019-05-07,4.4208,4.2566580045488145
2019-05-08,4.518622222222222,4.310786673931848
2019-05-09,4.617466666666667,4.364712233861288
2019-05-10,4.717333333333333,4.418427456242697
2019-05-11,4.818222222222222,4.471941376194121
2019-05-12,4.920133333333333,4.525329165897672
2019-05-13,5.023066666666666,4.578708643292623
2019-05-14,5.127022222222222,4.63146578175681
2019-05-15,5.232,4.683533360011993
2019-05-16,5.338,4.734834760257176
2019-05-17,5.4399999999999995,4.785281076930818
2019-05-18,5.538,4.834776899186392
2019-05-19,5.632,4.883278858457293
2019-05-20,5.722,4.930744308986361
2019-05-21,5.808000000000001,4.977139640134478
2019-05-22,5.887331687242798,5.022444251832508
2019-05-23,5.959995061728396,5.066874986913469
2019-05-24,6.025990123456791,5.110634232021513
2019-05-25,6.085316872427982,5.153471533684503
2019-05-26,6.137975308641975,5.19534677597833
2019-05-27,6.183965432098765,5.236204302575853
2019-05-28,6.223287242798354,5.275983036079103
2019-05-29,6.25594074074074,5.314647920230078
2019-05-30,6.281925925925925,5.352122698632497
2019-05-31,6.30124279835391,5.388356413220602
2019-06-01,6.317891358024691,5.423315453355274
2019-06-02,6.3318716049382715,5.456975243515438
2019-06-03,6.34318353909465,5.4893000046336455
2019-06-04,6.351827160493827,5.520250343595232
2019-06-05,6.357802469135802,5.549782530428871
2019-06-06,6.361109465020577,5.577859340448228
2019-06-07,6.3617481481481475,5.604446440204741
2019-06-08,6.359718518518519,5.629515278725397
2019-06-09,6.355020576131688,5.653042003298562
2019-06-10,6.347654320987655,5.675022999877021
2019-06-11,6.33761975308642,5.695419959560273
2019-06-12,6.324916872427983,5.714194573447817
2019-06-13,6.309545679012345,5.731321543209136
2019-06-14,6.291506172839506,5.74677557051371
2019-06-15,6.2707983539094645,5.76053569388768
2019-06-16,6.247422222222222,5.7725831202855185
