,199-D5-127
2017-07-10,9.483890533447266
2016-06-04,1.4502296447753906
2016-02-06,11.365458488464355
2015-10-08,10.260295867919922
2018-11-02,3.9161016941070557
2015-05-12,15.342187881469727
2017-03-19,1.9728784561157227
2018-06-03,4.108469009399414
2017-12-19,8.608842849731445
2016-09-05,12.489821434020996
2015-08-04,12.492745399475098
2015-05-16,13.942560195922852
2016-09-26,13.137678146362305
2016-03-22,17.615827560424805
2016-09-17,13.013895988464355
2015-10-26,11.055244445800781
2018-08-29,2.8454957008361816
2016-06-09,1.7919230461120605
2016-09-21,13.56271743774414
2018-07-07,5.519634246826172
2016-12-12,4.605230331420898
2017-02-15,5.601484298706055
2015-07-15,10.870950698852539
2018-08-18,3.2932028770446777
2018-07-13,5.51098108291626
2018-01-11,7.93379545211792
2018-11-30,8.903179168701172
2016-08-21,11.783632278442383
2018-04-03,8.241458892822266
2017-12-07,7.740980625152588
2017-08-03,6.419775009155273
2016-02-19,13.486848831176758
2017-09-12,6.530159950256348
2015-02-28,25.195314407348633
2017-03-01,3.0070133209228516
2018-11-27,8.865830421447754
2015-08-28,11.673577308654785
2016-11-02,8.050227165222168
2018-03-22,7.574604511260986
2016-12-21,3.557391405105591
2018-10-06,1.1931586265563965
2015-01-28,25.326927185058594
2016-02-09,11.690308570861816
2017-09-30,7.653383255004883
2015-05-07,16.76419448852539
2018-04-21,8.748186111450195
2016-12-19,3.7212026119232178
2018-04-10,8.679393768310547
2017-03-26,2.4836955070495605
2016-05-18,4.639930725097656
2017-07-24,7.725755214691162
2016-10-02,12.621332168579102
2015-04-01,23.272066116333008
2017-07-14,9.01789379119873
2017-04-10,4.796823501586914
2015-09-20,9.968093872070312
2017-02-04,6.190003871917725
2016-08-12,11.551338195800781
2016-02-04,11.222932815551758
2015-05-29,10.39749526977539
2015-12-03,7.635456562042236
2016-01-04,8.681876182556152
2016-07-10,9.366986274719238
2015-03-20,24.147241592407227
2016-10-12,10.620849609375
2017-05-30,7.784725666046143
